"Financial year","Area name","Measure Name","Value"
"2014/15","State Hospital","Total CAMHS Expenditure (£ millions)",0
"2014/15","State Hospital","Mental Health Expenditure (%)",100
"2014/15","State Hospital","CAMHS Expenditure (%)",0
"2014/15","National Waiting Times Centre (Golden Jubilee)","Total Net NHS Expenditure (£ millions)",115.3
"2014/15","National Waiting Times Centre (Golden Jubilee)","Total Mental Health Expenditure (£ millions)",0
"2014/15","National Waiting Times Centre (Golden Jubilee)","Total CAMHS Expenditure (£ millions)",0
"2014/15","National Waiting Times Centre (Golden Jubilee)","Mental Health Expenditure (%)",0
"2014/15","National Waiting Times Centre (Golden Jubilee)","CAMHS Expenditure (%)",0
"2013/14","NHS Scotland","Total Net NHS Expenditure (£ millions)",9986.6
"2013/14","NHS Scotland","Total Mental Health Expenditure (£ millions)",896.7
"2013/14","NHS Scotland","Total CAMHS Expenditure (£ millions)",48.427
"2013/14","NHS Scotland","Mental Health Expenditure (%)",8.98
"2013/14","NHS Scotland","CAMHS Expenditure (%)",0.48
"2013/14","NHS Ayrshire and Arran","Total Net NHS Expenditure (£ millions)",679.2
"2013/14","NHS Ayrshire and Arran","Total Mental Health Expenditure (£ millions)",61
"2013/14","NHS Ayrshire and Arran","Total CAMHS Expenditure (£ millions)",3.349
"2013/14","NHS Ayrshire and Arran","Mental Health Expenditure (%)",8.98
"2013/14","NHS Ayrshire and Arran","CAMHS Expenditure (%)",0.49
"2013/14","NHS Borders","Total Net NHS Expenditure (£ millions)",184
"2013/14","NHS Borders","Total Mental Health Expenditure (£ millions)",15.7
"2013/14","NHS Borders","Total CAMHS Expenditure (£ millions)",0.804
"2013/14","NHS Borders","Mental Health Expenditure (%)",8.55
"2013/14","NHS Borders","CAMHS Expenditure (%)",0.44
"2013/14","NHS Dumfries and Galloway","Total Net NHS Expenditure (£ millions)",277.9
"2013/14","NHS Dumfries and Galloway","Total Mental Health Expenditure (£ millions)",21.4
"2013/14","NHS Dumfries and Galloway","Total CAMHS Expenditure (£ millions)",0.875
"2013/14","NHS Dumfries and Galloway","Mental Health Expenditure (%)",7.69
"2013/14","NHS Dumfries and Galloway","CAMHS Expenditure (%)",0.31
"2013/14","NHS Fife","Total Net NHS Expenditure (£ millions)",583.8
"2013/14","NHS Fife","Total Mental Health Expenditure (£ millions)",46.2
"2013/14","NHS Fife","Total CAMHS Expenditure (£ millions)",0.439
"2013/14","NHS Fife","Mental Health Expenditure (%)",7.9
"2013/14","NHS Fife","CAMHS Expenditure (%)",0.08
"2013/14","NHS Forth Valley","Total Net NHS Expenditure (£ millions)",487.2
"2013/14","NHS Forth Valley","Total Mental Health Expenditure (£ millions)",42.1
"2013/14","NHS Forth Valley","Total CAMHS Expenditure (£ millions)",1.967
"2013/14","NHS Forth Valley","Mental Health Expenditure (%)",8.64
"2013/14","NHS Forth Valley","CAMHS Expenditure (%)",0.4
"2013/14","NHS Grampian","Total Net NHS Expenditure (£ millions)",917.9
"2013/14","NHS Grampian","Total Mental Health Expenditure (£ millions)",69.3
"2013/14","NHS Grampian","Total CAMHS Expenditure (£ millions)",3.135
"2013/14","NHS Grampian","Mental Health Expenditure (%)",7.55
"2013/14","NHS Grampian","CAMHS Expenditure (%)",0.34
"2013/14","NHS Greater Glasgow and Clyde","Total Net NHS Expenditure (£ millions)",2678.8
"2013/14","NHS Greater Glasgow and Clyde","Total Mental Health Expenditure (£ millions)",267.3
"2013/14","NHS Greater Glasgow and Clyde","Total CAMHS Expenditure (£ millions)",16.425
"2013/14","NHS Greater Glasgow and Clyde","Mental Health Expenditure (%)",9.98
"2013/14","NHS Greater Glasgow and Clyde","CAMHS Expenditure (%)",0.61
"2013/14","NHS Highland","Total Net NHS Expenditure (£ millions)",583.8
"2013/14","NHS Highland","Total Mental Health Expenditure (£ millions)",43.5
"2013/14","NHS Highland","Total CAMHS Expenditure (£ millions)",0.749
"2013/14","NHS Highland","Mental Health Expenditure (%)",7.45
"2013/14","NHS Highland","CAMHS Expenditure (%)",0.13
"2013/14","NHS Lanarkshire","Total Net NHS Expenditure (£ millions)",939.2
"2013/14","NHS Lanarkshire","Total Mental Health Expenditure (£ millions)",71.5
"2013/14","NHS Lanarkshire","Total CAMHS Expenditure (£ millions)",4.237
"2013/14","NHS Lanarkshire","Mental Health Expenditure (%)",7.61
"2013/14","NHS Lanarkshire","CAMHS Expenditure (%)",0.45
"2013/14","NHS Lothian","Total Net NHS Expenditure (£ millions)",1515.2
"2013/14","NHS Lothian","Total Mental Health Expenditure (£ millions)",117.9
"2013/14","NHS Lothian","Total CAMHS Expenditure (£ millions)",10.678
"2013/14","NHS Lothian","Mental Health Expenditure (%)",7.78
"2013/14","NHS Lothian","CAMHS Expenditure (%)",0.7
"2013/14","NHS Orkney","Total Net NHS Expenditure (£ millions)",41.5
"2013/14","NHS Orkney","Total Mental Health Expenditure (£ millions)",1.1
"2013/14","NHS Orkney","Total CAMHS Expenditure (£ millions)",0.042
"2013/14","NHS Orkney","Mental Health Expenditure (%)",2.65
"2013/14","NHS Orkney","CAMHS Expenditure (%)",0.1
"2013/14","NHS Shetland","Total Net NHS Expenditure (£ millions)",46
"2013/14","NHS Shetland","Total Mental Health Expenditure (£ millions)",1
"2013/14","NHS Shetland","Total CAMHS Expenditure (£ millions)",0.234
"2013/14","NHS Shetland","Mental Health Expenditure (%)",2.25
"2013/14","NHS Shetland","CAMHS Expenditure (%)",0.51
"2013/14","NHS Tayside","Total Net NHS Expenditure (£ millions)",841
"2013/14","NHS Tayside","Total Mental Health Expenditure (£ millions)",98.7
"2013/14","NHS Tayside","Total CAMHS Expenditure (£ millions)",5.339
"2013/14","NHS Tayside","Mental Health Expenditure (%)",11.73
"2013/14","NHS Tayside","CAMHS Expenditure (%)",0.63
"2013/14","NHS Western Isles","Total Net NHS Expenditure (£ millions)",64.2
"2013/14","NHS Western Isles","Total Mental Health Expenditure (£ millions)",4.8
"2013/14","NHS Western Isles","Total CAMHS Expenditure (£ millions)",0.154
"2013/14","NHS Western Isles","Mental Health Expenditure (%)",7.4
"2013/14","NHS Western Isles","CAMHS Expenditure (%)",0.24
"2013/14","State Hospital","Total Net NHS Expenditure (£ millions)",35.2
"2013/14","State Hospital","Total Mental Health Expenditure (£ millions)",35.2
"2013/14","State Hospital","Total CAMHS Expenditure (£ millions)",0
"2013/14","State Hospital","Mental Health Expenditure (%)",100
"2013/14","State Hospital","CAMHS Expenditure (%)",0
"2013/14","National Waiting Times Centre (Golden Jubilee)","Total Net NHS Expenditure (£ millions)",111.5
"2013/14","National Waiting Times Centre (Golden Jubilee)","Total Mental Health Expenditure (£ millions)",0
"2013/14","National Waiting Times Centre (Golden Jubilee)","Total CAMHS Expenditure (£ millions)",0
"2013/14","National Waiting Times Centre (Golden Jubilee)","Mental Health Expenditure (%)",0
"2013/14","National Waiting Times Centre (Golden Jubilee)","CAMHS Expenditure (%)",0
"2012/13","NHS Scotland","Total Net NHS Expenditure (£ millions)",9755.1
"2012/13","NHS Scotland","Total Mental Health Expenditure (£ millions)",899.1
"2012/13","NHS Scotland","Total CAMHS Expenditure (£ millions)",45.553
"2012/13","NHS Scotland","Mental Health Expenditure (%)",9.22
"2012/13","NHS Scotland","CAMHS Expenditure (%)",0.47
"2012/13","NHS Ayrshire and Arran","Total Net NHS Expenditure (£ millions)",664.9
"2012/13","NHS Ayrshire and Arran","Total Mental Health Expenditure (£ millions)",60.1
"2012/13","NHS Ayrshire and Arran","Total CAMHS Expenditure (£ millions)",3.276
"2012/13","NHS Ayrshire and Arran","Mental Health Expenditure (%)",9.03
"2012/13","NHS Ayrshire and Arran","CAMHS Expenditure (%)",0.49
"2012/13","NHS Borders","Total Net NHS Expenditure (£ millions)",174.6
"2012/13","NHS Borders","Total Mental Health Expenditure (£ millions)",15.1
"2012/13","NHS Borders","Total CAMHS Expenditure (£ millions)",0.893
"2012/13","NHS Borders","Mental Health Expenditure (%)",8.65
"2012/13","NHS Borders","CAMHS Expenditure (%)",0.51
"2012/13","NHS Dumfries and Galloway","Total Net NHS Expenditure (£ millions)",269.6
"2012/13","NHS Dumfries and Galloway","Total Mental Health Expenditure (£ millions)",22.2
"2012/13","NHS Dumfries and Galloway","Total CAMHS Expenditure (£ millions)",0.974
"2012/13","NHS Dumfries and Galloway","Mental Health Expenditure (%)",8.22
"2012/13","NHS Dumfries and Galloway","CAMHS Expenditure (%)",0.36
"2012/13","NHS Fife","Total Net NHS Expenditure (£ millions)",568.4
"2012/13","NHS Fife","Total Mental Health Expenditure (£ millions)",47.3
"2012/13","NHS Fife","Total CAMHS Expenditure (£ millions)",0.577
"2012/13","NHS Fife","Mental Health Expenditure (%)",8.33
"2012/13","NHS Fife","CAMHS Expenditure (%)",0.1
"2012/13","NHS Forth Valley","Total Net NHS Expenditure (£ millions)",476.6
"2012/13","NHS Forth Valley","Total Mental Health Expenditure (£ millions)",42.9
"2012/13","NHS Forth Valley","Total CAMHS Expenditure (£ millions)",2.06
"2012/13","NHS Forth Valley","Mental Health Expenditure (%)",9
"2012/13","NHS Forth Valley","CAMHS Expenditure (%)",0.43
"2012/13","NHS Grampian","Total Net NHS Expenditure (£ millions)",894.4
"2012/13","NHS Grampian","Total Mental Health Expenditure (£ millions)",72.2
"2012/13","NHS Grampian","Total CAMHS Expenditure (£ millions)",3.274
"2012/13","NHS Grampian","Mental Health Expenditure (%)",8.08
"2012/13","NHS Grampian","CAMHS Expenditure (%)",0.37
"2012/13","NHS Greater Glasgow and Clyde","Total Net NHS Expenditure (£ millions)",2646.4
"2012/13","NHS Greater Glasgow and Clyde","Total Mental Health Expenditure (£ millions)",266.7
"2012/13","NHS Greater Glasgow and Clyde","Total CAMHS Expenditure (£ millions)",15.113
"2012/13","NHS Greater Glasgow and Clyde","Mental Health Expenditure (%)",10.08
"2012/13","NHS Greater Glasgow and Clyde","CAMHS Expenditure (%)",0.57
"2012/13","NHS Highland","Total Net NHS Expenditure (£ millions)",564.1
"2012/13","NHS Highland","Total Mental Health Expenditure (£ millions)",48.4
"2012/13","NHS Highland","Total CAMHS Expenditure (£ millions)",0.178
"2012/13","NHS Highland","Mental Health Expenditure (%)",8.58
"2012/13","NHS Highland","CAMHS Expenditure (%)",0.03
"2012/13","NHS Lanarkshire","Total Net NHS Expenditure (£ millions)",914.9
"2012/13","NHS Lanarkshire","Total Mental Health Expenditure (£ millions)",72.5
"2012/13","NHS Lanarkshire","Total CAMHS Expenditure (£ millions)",3.946
"2012/13","NHS Lanarkshire","Mental Health Expenditure (%)",7.92
"2012/13","NHS Lanarkshire","CAMHS Expenditure (%)",0.43
"2012/13","NHS Lothian","Total Net NHS Expenditure (£ millions)",1474.3
"2012/13","NHS Lothian","Total Mental Health Expenditure (£ millions)",113.9
"2012/13","NHS Lothian","Total CAMHS Expenditure (£ millions)",9.237
"2012/13","NHS Lothian","Mental Health Expenditure (%)",7.73
"2012/13","NHS Lothian","CAMHS Expenditure (%)",0.63
"2012/13","NHS Orkney","Total Net NHS Expenditure (£ millions)",39.7
"2012/13","NHS Orkney","Total Mental Health Expenditure (£ millions)",1.2
"2012/13","NHS Orkney","Total CAMHS Expenditure (£ millions)",0.043
"2012/13","NHS Orkney","Mental Health Expenditure (%)",3.09
"2012/13","NHS Orkney","CAMHS Expenditure (%)",0.11
"2012/13","NHS Shetland","Total Net NHS Expenditure (£ millions)",43.8
"2012/13","NHS Shetland","Total Mental Health Expenditure (£ millions)",1
"2012/13","NHS Shetland","Total CAMHS Expenditure (£ millions)",0.193
"2012/13","NHS Shetland","Mental Health Expenditure (%)",2.35
"2012/13","NHS Shetland","CAMHS Expenditure (%)",0.44
"2012/13","NHS Tayside","Total Net NHS Expenditure (£ millions)",817.9
"2012/13","NHS Tayside","Total Mental Health Expenditure (£ millions)",96.6
"2012/13","NHS Tayside","Total CAMHS Expenditure (£ millions)",5.641
"2012/13","NHS Tayside","Mental Health Expenditure (%)",11.81
"2012/13","NHS Tayside","CAMHS Expenditure (%)",0.69
"2012/13","NHS Western Isles","Total Net NHS Expenditure (£ millions)",64
"2012/13","NHS Western Isles","Total Mental Health Expenditure (£ millions)",3.9
"2012/13","NHS Western Isles","Total CAMHS Expenditure (£ millions)",0.147
"2012/13","NHS Western Isles","Mental Health Expenditure (%)",6.1
"2012/13","NHS Western Isles","CAMHS Expenditure (%)",0.23
"2012/13","State Hospital","Total Net NHS Expenditure (£ millions)",35
"2012/13","State Hospital","Total Mental Health Expenditure (£ millions)",35
"2012/13","State Hospital","Total CAMHS Expenditure (£ millions)",0
"2012/13","State Hospital","Mental Health Expenditure (%)",100
"2012/13","State Hospital","CAMHS Expenditure (%)",0
"2012/13","National Waiting Times Centre (Golden Jubilee)","Total Net NHS Expenditure (£ millions)",106.6
"2012/13","National Waiting Times Centre (Golden Jubilee)","Total Mental Health Expenditure (£ millions)",0
"2012/13","National Waiting Times Centre (Golden Jubilee)","Total CAMHS Expenditure (£ millions)",0
"2012/13","National Waiting Times Centre (Golden Jubilee)","Mental Health Expenditure (%)",0
"2012/13","National Waiting Times Centre (Golden Jubilee)","CAMHS Expenditure (%)",0
"2011/12","NHS Scotland","Total Net NHS Expenditure (£ millions)",9612.5
"2011/12","NHS Scotland","Total Mental Health Expenditure (£ millions)",877
"2011/12","NHS Scotland","Total CAMHS Expenditure (£ millions)",43.803
"2011/12","NHS Scotland","Mental Health Expenditure (%)",9.12
"2011/12","NHS Scotland","CAMHS Expenditure (%)",0.46
"2011/12","NHS Ayrshire and Arran","Total Net NHS Expenditure (£ millions)",657.3
"2011/12","NHS Ayrshire and Arran","Total Mental Health Expenditure (£ millions)",58.3
"2011/12","NHS Ayrshire and Arran","Total CAMHS Expenditure (£ millions)",2.578
"2011/12","NHS Ayrshire and Arran","Mental Health Expenditure (%)",8.87
"2011/12","NHS Ayrshire and Arran","CAMHS Expenditure (%)",0.39
"2011/12","NHS Borders","Total Net NHS Expenditure (£ millions)",172.9
"2011/12","NHS Borders","Total Mental Health Expenditure (£ millions)",15.7
"2011/12","NHS Borders","Total CAMHS Expenditure (£ millions)",0.766
"2011/12","NHS Borders","Mental Health Expenditure (%)",9.08
"2011/12","NHS Borders","CAMHS Expenditure (%)",0.44
"2011/12","NHS Dumfries and Galloway","Total Net NHS Expenditure (£ millions)",270.8
"2011/12","NHS Dumfries and Galloway","Total Mental Health Expenditure (£ millions)",24.6
"2011/12","NHS Dumfries and Galloway","Total CAMHS Expenditure (£ millions)",1.535
"2011/12","NHS Dumfries and Galloway","Mental Health Expenditure (%)",9.08
"2011/12","NHS Dumfries and Galloway","CAMHS Expenditure (%)",0.57
"2011/12","NHS Fife","Total Net NHS Expenditure (£ millions)",560.3
"2011/12","NHS Fife","Total Mental Health Expenditure (£ millions)",47
"2011/12","NHS Fife","Total CAMHS Expenditure (£ millions)",0.504
"2011/12","NHS Fife","Mental Health Expenditure (%)",8.39
"2011/12","NHS Fife","CAMHS Expenditure (%)",0.09
"2011/12","NHS Forth Valley","Total Net NHS Expenditure (£ millions)",469.4
"2011/12","NHS Forth Valley","Total Mental Health Expenditure (£ millions)",41.9
"2011/12","NHS Forth Valley","Total CAMHS Expenditure (£ millions)",1.806
"2011/12","NHS Forth Valley","Mental Health Expenditure (%)",8.93
"2011/12","NHS Forth Valley","CAMHS Expenditure (%)",0.38
"2011/12","NHS Grampian","Total Net NHS Expenditure (£ millions)",870.8
"2011/12","NHS Grampian","Total Mental Health Expenditure (£ millions)",70
"2011/12","NHS Grampian","Total CAMHS Expenditure (£ millions)",4.35
"2011/12","NHS Grampian","Mental Health Expenditure (%)",8.04
"2011/12","NHS Grampian","CAMHS Expenditure (%)",0.5
"2011/12","NHS Greater Glasgow and Clyde","Total Net NHS Expenditure (£ millions)",2623.7
"2011/12","NHS Greater Glasgow and Clyde","Total Mental Health Expenditure (£ millions)",263.5
"2011/12","NHS Greater Glasgow and Clyde","Total CAMHS Expenditure (£ millions)",15.335
"2011/12","NHS Greater Glasgow and Clyde","Mental Health Expenditure (%)",10.04
"2011/12","NHS Greater Glasgow and Clyde","CAMHS Expenditure (%)",0.58
"2011/12","NHS Highland","Total Net NHS Expenditure (£ millions)",554.3
"2011/12","NHS Highland","Total Mental Health Expenditure (£ millions)",50
"2011/12","NHS Highland","Total CAMHS Expenditure (£ millions)",0.143
"2011/12","NHS Highland","Mental Health Expenditure (%)",9.02
"2011/12","NHS Highland","CAMHS Expenditure (%)",0.03
"2011/12","NHS Lanarkshire","Total Net NHS Expenditure (£ millions)",905.5
"2011/12","NHS Lanarkshire","Total Mental Health Expenditure (£ millions)",69.8
"2011/12","NHS Lanarkshire","Total CAMHS Expenditure (£ millions)",3.586
"2011/12","NHS Lanarkshire","Mental Health Expenditure (%)",7.71
"2011/12","NHS Lanarkshire","CAMHS Expenditure (%)",0.4
"2011/12","NHS Lothian","Total Net NHS Expenditure (£ millions)",1443.4
"2011/12","NHS Lothian","Total Mental Health Expenditure (£ millions)",117.2
"2011/12","NHS Lothian","Total CAMHS Expenditure (£ millions)",8.293
"2011/12","NHS Lothian","Mental Health Expenditure (%)",8.12
"2011/12","NHS Lothian","CAMHS Expenditure (%)",0.57
"2011/12","NHS Orkney","Total Net NHS Expenditure (£ millions)",40.7
"2011/12","NHS Orkney","Total Mental Health Expenditure (£ millions)",1.3
"2011/12","NHS Orkney","Total CAMHS Expenditure (£ millions)",0.005
"2011/12","NHS Orkney","Mental Health Expenditure (%)",3.12
"2011/12","NHS Orkney","CAMHS Expenditure (%)",0.01
"2011/12","NHS Shetland","Total Net NHS Expenditure (£ millions)",43.4
"2011/12","NHS Shetland","Total Mental Health Expenditure (£ millions)",0.9
"2011/12","NHS Shetland","Total CAMHS Expenditure (£ millions)",0.199
"2011/12","NHS Shetland","Mental Health Expenditure (%)",2.01
"2011/12","NHS Shetland","CAMHS Expenditure (%)",0.46
"2011/12","NHS Tayside","Total Net NHS Expenditure (£ millions)",796.7
"2011/12","NHS Tayside","Total Mental Health Expenditure (£ millions)",78.2
"2011/12","NHS Tayside","Total CAMHS Expenditure (£ millions)",4.543
"2011/12","NHS Tayside","Mental Health Expenditure (%)",9.82
"2011/12","NHS Tayside","CAMHS Expenditure (%)",0.57
"2011/12","NHS Western Isles","Total Net NHS Expenditure (£ millions)",64.3
"2011/12","NHS Western Isles","Total Mental Health Expenditure (£ millions)",4.6
"2011/12","NHS Western Isles","Total CAMHS Expenditure (£ millions)",0.16
"2011/12","NHS Western Isles","Mental Health Expenditure (%)",7.18
"2011/12","NHS Western Isles","CAMHS Expenditure (%)",0.25
"2011/12","State Hospital","Total Net NHS Expenditure (£ millions)",34
"2011/12","State Hospital","Total Mental Health Expenditure (£ millions)",34
"2011/12","State Hospital","Total CAMHS Expenditure (£ millions)",0
"2011/12","State Hospital","Mental Health Expenditure (%)",100
"2011/12","State Hospital","CAMHS Expenditure (%)",0
"2011/12","National Waiting Times Centre (Golden Jubilee)","Total Net NHS Expenditure (£ millions)",104.9
"2011/12","National Waiting Times Centre (Golden Jubilee)","Total Mental Health Expenditure (£ millions)",0
"2011/12","National Waiting Times Centre (Golden Jubilee)","Total CAMHS Expenditure (£ millions)",0
"2011/12","National Waiting Times Centre (Golden Jubilee)","Mental Health Expenditure (%)",0
"2011/12","National Waiting Times Centre (Golden Jubilee)","CAMHS Expenditure (%)",0
